ಇತ್ತೀಚೆಗಷ್ಟೇ	NST.unk....	ಇತ್ತೀಚೆಗಷ್ಟೇ.
ನಾಯಕಿಯಾಗಿ	RB.n.f.sg.3.o	ನಾಯಕಿ.ಆಗಿ
ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದಾರೆ.	UNK	ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದಾರೆ..
.	SYM.punc....	..


ಈಗಾಗಲೇ	NST.avy....	ಈಗಾಗಲೇ.
ಬಹುತೇಕ	JJ.avy....	ಬಹುತೇಕ.
ಚಿತ್ರೀಕರಣ	NN.unk....	ಚಿತ್ರೀಕರಣ.
ಮುಗಿದಿದ್ದು,	UNK	ಮುಗಿದಿದ್ದು,.
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಹಾಡು	NN.n.n.sg..d	ಹಾಡು.0
ಬಾಕಿ	NN.n.n.sg..d	ಬಾಕಿ.0
ಉಳಿದಿದೆ..	UNK	ಉಳಿದಿದೆ...
.	SYM.punc....	..


ಆ	DEM.avy....	ಆ.
ಹಾಡನ್ನು	NN.n.n.sg..o	ಹಾಡು.ಅನ್ನು
ಚಿತ್ರೀಕರಿಸಿದರೆ,	UNK	ಚಿತ್ರೀಕರಿಸಿದರೆ,.
ಚಿತ್ರಕ್ಕೆ	NN.n.n.sg..o	ಚಿತ್ರ.ಇಗೆ
ಕುಂಬಳಕಾಯಿ	NNP.n.n.sg..d	ಕುಂಬಳಕಾಯಿ.0
ಎನ್ನುತ್ತಾರೆ	VM.v.n.pl.3.	ಎನ್ನು.ಉತ್ತ್
ನಿರ್ದೇಶಕ	NN.n.m.sg.3.d	ನಿರ್ದೇಶಕ.0
ರಾಜಶೇಖರ್‌.	UNK	ರಾಜಶೇಖರ್‌..
.	SYM.punc....	..


"ಇದೊಂದು	UNK	"ಇದೊಂದು.
ಮುದ್ದಾದ	VM.unk....	ಮುದ್ದಾದ.
ಲವ್‌ಸ್ಟೋರಿಯಾಗಿದ್ದು,	UNK	ಲವ್‌ಸ್ಟೋರಿಯಾಗಿದ್ದು,.
ಸಿನಿಮಾದಲ್ಲಿ	NN.n.n.sg..o	ಸಿನಿಮಾ.ಅಲ್ಲಿ
ಮನರಂಜನೆಗೆ	NN.unk....	ಮನರಂಜನೆಗೆ.
ಹೆಚ್ಚು	QF.v..sg.2.	ಹೆಚ್ಚು.0
ಒತ್ತು	VM.v..sg.2.	ಒತ್ತು.0
ಕೊಡಲಾಗಿದೆ.	UNK	ಕೊಡಲಾಗಿದೆ..
.	SYM.punc....	..


ತಾಯಿ	NN.n.f.sg.3.d	ತಾಯಿ.0
ಮಗನ	NN.n.m.sg.3.o	ಮಗ.ಅ
ಸೆಂಟಿಮೆಂಟ್‌,	UNK	ಸೆಂಟಿಮೆಂಟ್‌,.
ಗೆಳೆತನ,	UNK	ಗೆಳೆತನ,.
ಪ್ರೀತಿಯ	NN.n.n.sg..o	ಪ್ರೀತಿ.ಅ
ತ್ಯಾಗ,	UNK	ತ್ಯಾಗ,.
ಆ್ಯಕ್ಷನ್‌	UNK	ಆ್ಯಕ್ಷನ್‌.
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
ಹಾಸ್ಯ	NN.n.n.sg..d	ಹಾಸ್ಯ.0
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಹೈಲೆಟ್‌ಗಳಲ್ಲೊಂದು'	UNK	ಹೈಲೆಟ್‌ಗಳಲ್ಲೊಂದು'.
ಎನ್ನುವ	VM.v.any.any.any.	ಎನ್ನು.ವ
ನಿರ್ದೇಶಕರು,	UNK	ನಿರ್ದೇಶಕರು,.
"ಈಗಿನ	UNK	"ಈಗಿನ.
ಯೂತ್ಸ್ಗೆ	UNK	ಯೂತ್ಸ್ಗೆ.
ಬೇಕಾದ	VM.v.any.any.any.	ಬೇಕಾಗು.ಅ
ಎಲ್ಲಾ	JJ.avy....	ಎಲ್ಲಾ.
ಅಂಶಗಳು	NN.n.n.pl..d	ಅಂಶ.0
ಚಿತ್ರದಲ್ಲಿರಲಿವೆ.	UNK	ಚಿತ್ರದಲ್ಲಿರಲಿವೆ..
.	SYM.punc....	..


ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಪ್ರೀತಿಯನ್ನು	NN.n.n.sg..o	ಪ್ರೀತಿ.ಅನ್ನು
ಪಡೆದುಕೊಳ್ಳಲು	UNK	ಪಡೆದುಕೊಳ್ಳಲು.
ಹುಡುಗರು	NN.n.m.pl.3.d	ಹುಡುಗ.0
ಏನೆಲ್ಲಾ	JJ.unk....	ಏನೆಲ್ಲಾ.
ಹರಸಾಹಸ	NN.unk....	ಹರಸಾಹಸ.
ಪಡುತ್ತಾರೆ,.	UNK	ಪಡುತ್ತಾರೆ,..
.	SYM.punc....	..


ಎಷ್ಟೆಲ್ಲಾ	JJ.unk....	ಎಷ್ಟೆಲ್ಲಾ.
ಸುಳ್ಳುಗಳನ್ನು	NN.n.n.pl..o	ಸುಳ್ಳು.ಅನ್ನು
ಹೇಳಿ,	UNK	ಹೇಳಿ,.
ಕೊನೆಗೆ	UNK	ಕೊನೆಗೆ.
ತಪ್ಪಿನ	NN.n.n.sg..o	ತಪ್ಪು.ಅ
ಅರಿವಾಗಿ	RB.n.n.sg..o	ಅರಿವು.ಆಗಿ
ಬದುಕನ್ನು	NN.n.n.sg..o	ಬದುಕು.ಅನ್ನು
ಹೇಗೆ	WQ.avy....	ಹೇಗೆ.
ಬದಲಾಯಿಸಿಕೊಳ್ಳುತ್ತಾರೆ	UNK	ಬದಲಾಯಿಸಿಕೊಳ್ಳುತ್ತಾರೆ.
ಎಂಬುದು	PRP.n.n.sg..d	ಎಂಬುದು.0
ಕಥೆಯ	NN.n.n.sg..o	ಕಥೆ.ಅ
ಒನ್‌ಲೈನ್‌.	UNK	ಒನ್‌ಲೈನ್‌..
.	SYM.punc....	..


ಇಲ್ಲಿ	NST.avy....	ಇಲ್ಲಿ.
ಪ್ರೀತಿಗೆ	NN.n.n.sg..o	ಪ್ರೀತಿ.ಇಗೆ
ಎಷ್ಟು	WQ.n.n.sg..d	ಎಷ್ಟು.0
ಆದ್ಯತೆ	NN.n.n.sg..d	ಆದ್ಯತೆ.0
ಕೊಡಲಾಗಿದೆಯೋ,	UNK	ಕೊಡಲಾಗಿದೆಯೋ,.
ಅಷ್ಟೇ	QF.avy....	ಅಷ್ಟೇ.
ಆದ್ಯತೆ	NN.n.n.sg..d	ಆದ್ಯತೆ.0
ಹಾಸ್ಯಕ್ಕೂ	UNK	ಹಾಸ್ಯಕ್ಕೂ.
ಇದೆ.	UNK	ಇದೆ..
.	SYM.punc....	..


ಆರಂಭದಿಂದ	NN.n.n.sg..o	ಆರಂಭ.ಇಂದ
ಅಂತ್ಯದವರೆಗೂ	NN.unk....	ಅಂತ್ಯದವರೆಗೂ.
ಹಾಸ್ಯದ	NN.n.n.sg..o	ಹಾಸ್ಯ.ಅ
ಹೊನಲು	VM.n.n.sg..d	ಹೊನಲು.0
ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
ಹರಿದಾಡಲಿದೆ'	UNK	ಹರಿದಾಡಲಿದೆ'.
ಎನ್ನುತ್ತಾರೆ	VM.v.n.pl.3.	ಎನ್ನು.ಉತ್ತ್
ಅವರು.	UNK	ಅವರು..
.	SYM.punc....	..


ಮೈಸೂರು	NNP.n.n.sg..d	ಮೈಸೂರು.0
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಬೆಂಗಳೂರು	NNP.n.n.sg..d	ಬೆಂಗಳೂರು.0
ಸುತ್ತಮುತ್ತ	NST.avy....	ಸುತ್ತಮುತ್ತ.
ಚಿತ್ರೀಕರಣ	NN.unk....	ಚಿತ್ರೀಕರಣ.
ನಡೆದಿದೆ..	UNK	ನಡೆದಿದೆ...
.	SYM.punc....	..


ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
ರವಿಶಂಕರ್‌,	UNK	ರವಿಶಂಕರ್‌,.
ರಾಕೇಶ್‌	UNK	ರಾಕೇಶ್‌.
ಅಡಿಗ,	UNK	ಅಡಿಗ,.
ಶುಭಾ	NN.unk....	ಶುಭಾ.
ಪೂಂಜಾ,	UNK	ಪೂಂಜಾ,.
ಮಿತ್ರ,	UNK	ಮಿತ್ರ,.
ತಬಲಾ	NN.unk....	ತಬಲಾ.
ನಾಣಿ,	UNK	ನಾಣಿ,.
ಶೋಭರಾಜ್‌,	UNK	ಶೋಭರಾಜ್‌,.
ಕುರಿ	NN.n.n.sg..d	ಕುರಿ.0
ಪ್ರತಾಪ್‌,	UNK	ಪ್ರತಾಪ್‌,.
ಪವನ್‌	UNK	ಪವನ್‌.
ಕುಮಾರ್‌,	UNK	ಕುಮಾರ್‌,.
ಕುರಿ	NN.n.n.sg..d	ಕುರಿ.0
ರಂಗ,	UNK	ರಂಗ,.
ಕುರಿ	NN.n.n.sg..d	ಕುರಿ.0
ಸುನೀಲ,	UNK	ಸುನೀಲ,.
ಪೆಟ್ರೋಲ್‌	UNK	ಪೆಟ್ರೋಲ್‌.
ಪ್ರಸನ್ನ,	UNK	ಪ್ರಸನ್ನ,.
ಡ್ಯಾನಿ	NN.unk....	ಡ್ಯಾನಿ.
ಕುಟ್ಟಪ್ಪ,	UNK	ಕುಟ್ಟಪ್ಪ,.
ನಿರಂಜನ್‌,	UNK	ನಿರಂಜನ್‌,.
ಹಿರಿಯ	JJ.unk....	ಹಿರಿಯ.
ಕಲಾವಿದೆ	VM.n.f.sg.3.d	ಕಲಾವಿದೆ.0
ಭವ್ಯಾ,	UNK	ಭವ್ಯಾ,.
ಮೋಹನ್‌	UNK	ಮೋಹನ್‌.
ಜುನೇಜ,	UNK	ಜುನೇಜ,.
ಮೂಗು	NN.n.n.sg..d	ಮೂಗು.0
ಸುರೇಶ್‌,	UNK	ಸುರೇಶ್‌,.
ಮನೋಜ್‌	UNK	ಮನೋಜ್‌.
ಸೇರಿದಂತೆ	VM.v.any.any.any.	ಸೇರು.ಅಂತೆ
ಇನ್ನು	CC.avy....	ಇನ್ನು.
ಹಲವು	JJ.n.n.sg..d	ಹಲವು.0
ಕಲಾವಿದರು	VM.n.m.pl.3.d	ಕಲಾವಿದ.0
ನಟಿಸಿ	VM.v..pl.2.	ನಟಿಸು.0
ದ್ದಾರೆ.	UNK	ದ್ದಾರೆ..
.	SYM.punc....	..


ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
ಐದು	QC.n.n.sg..d	ಐದು.0
ಹಾಡುಗಳಿವೆ.	UNK	ಹಾಡುಗಳಿವೆ..
.	SYM.punc....	..


ವೀರ್‌	UNK	ವೀರ್‌.
ಸಮರ್ಥ್	NN.unk....	ಸಮರ್ಥ್.
ಚಿತ್ರಕ್ಕೆ	NN.n.n.sg..o	ಚಿತ್ರ.ಇಗೆ
ಸಂಗೀತ	NN.n.n.sg..d	ಸಂಗೀತ.0
ನೀಡಿದ್ದಾರೆ.	UNK	ನೀಡಿದ್ದಾರೆ..
.	SYM.punc....	..


ಚಿದಾನಂದ್‌	UNK	ಚಿದಾನಂದ್‌.
ಕ್ಯಾಮೆರಾ	NNP.unk....	ಕ್ಯಾಮೆರಾ.
ಹಿಡಿದಿದ್ದಾರೆ..	UNK	ಹಿಡಿದಿದ್ದಾರೆ...
.	SYM.punc....	..


.	SYM.punc....	..


