ಕೆಲವು	JJ.avy....	ಕೆಲವು.
ಪ್ರೊಡಕ್ಷನ್‌	UNK	ಪ್ರೊಡಕ್ಷನ್‌.
ನಡಿ	NN.v..pl.2.	ನಡು.0
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರ	NN.n.n.sg..d	ಚಿತ್ರ.0
ನಿರ್ಮಾಣವಾಗಿದೆ.ಪ್ರದೀಪ್‌	UNK	ನಿರ್ಮಾಣವಾಗಿದೆ.ಪ್ರದೀಪ್‌.
ನಾಯಕನಾಗುವುದರ	UNK	ನಾಯಕನಾಗುವುದರ.
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಸಂಗೀತ	NN.n.n.sg..d	ಸಂಗೀತ.0
ನಿರ್ದೇಶಕರಾಗಿಯೂ	RB.unk....	ನಿರ್ದೇಶಕರಾಗಿಯೂ.
ಕೆಲಸ	NN.n.n.sg..d	ಕೆಲಸ.0
ಮಾಡಿದ್ದಾರೆ.	UNK	ಮಾಡಿದ್ದಾರೆ..
.	SYM.punc....	..


ಇನ್ನು	CC.avy....	ಇನ್ನು.
ಅವರಿಗೆನಾಯಕಿಯಾಗಿ	UNK	ಅವರಿಗೆನಾಯಕಿಯಾಗಿ.
ಚೈತ್ರ	NNP.n.n.sg..d	ಚೈತ್ರ.0
ಶೆಟ್ಟಿ,	UNK	ಶೆಟ್ಟಿ,.
ಜಗದೀಶ್‌	UNK	ಜಗದೀಶ್‌.
ವೆಂಕಿ,	UNK	ವೆಂಕಿ,.
ರಾಜೇಶ್‌,	UNK	ರಾಜೇಶ್‌,.
ಶಿವಾನಂದ್‌,	UNK	ಶಿವಾನಂದ್‌,.
ಸುನೀಲ್‌	UNK	ಸುನೀಲ್‌.
ಕುಮಾರ್‌,	UNK	ಕುಮಾರ್‌,.
ಶೋಭಿತ,	UNK	ಶೋಭಿತ,.
ರವಿರಾಜ್‌,	UNK	ರವಿರಾಜ್‌,.
ಅಂಬಿಕ	UNK	ಅಂಬಿಕ.
ಮುಂತಾದವರು	NN.unk....	ಮುಂತಾದವರು.
ನಟಿಸಿದ್ದಾರೆ.	UNK	ನಟಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


ವೇಲ್ಸ್‌ ಅವರ	UNK	ವೇಲ್ಸ್‌ ಅವರ.
ಛಾಯಾಗ್ರಹಣ	NN.n.n.sg..d	ಛಾಯಾಗ್ರಹಣ.0
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರಕ್ಕಿದೆ..	UNK	ಚಿತ್ರಕ್ಕಿದೆ...
.	SYM.punc....	..


.	SYM.punc....	..


