ಮೊದಲೇ	NST.unk....	ಮೊದಲೇ.
ಬಿಂಬಿಸಿಕೊಳ್ಳಲು	UNK	ಬಿಂಬಿಸಿಕೊಳ್ಳಲು.
ಅವಕಾಶ.	UNK	ಅವಕಾಶ..
.	SYM.punc....	..


ಸೋತರೆ: -ಕೆಪಿಸಿಸಿ	UNK	ಸೋತರೆ: -ಕೆಪಿಸಿಸಿ.
ಅಧ್ಯಕ್ಷ	NN.n.m.sg.3.d	ಅಧ್ಯಕ್ಷ.0
ಹುದ್ದೆ	NN.n.n.sg..d	ಹುದ್ದೆ.0
ಕೈ	NN.n.n.sg..d	ಕೈ.0
ತಪ್ಪಬಹುದು-	UNK	ತಪ್ಪಬಹುದು-.
ನಾಯಕತ್ವ	NN.n.n.sg..d	ನಾಯಕತ್ವ.0
ನೀಡಲು	VM.v.any.any.any.	ನೀಡು.ಅಲು
ಹೈಕಮಾಂಡ್‌	UNK	ಹೈಕಮಾಂಡ್‌.
ಹಿಂದೇಟು	NN.n.n.sg..d	ಹಿಂದೇಟು.0
ಸಾಧ್ಯತೆ-ಒಕ್ಕಲಿಗರ	UNK	ಸಾಧ್ಯತೆ-ಒಕ್ಕಲಿಗರ.
ವಿಶ್ವಾಸಗಳಿಸಲು	UNK	ವಿಶ್ವಾಸಗಳಿಸಲು.
ವಿಫ‌ಲ	UNK	ವಿಫ‌ಲ.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಸಂದೇಶ	NN.n.n.sg..d	ಸಂದೇಶ.0
ರವಾನೆ.	UNK	ರವಾನೆ..
.	SYM.punc....	..


ಶ್ರೀನಿವಾಸ್‌	UNK	ಶ್ರೀನಿವಾಸ್‌.
ಪ್ರಸಾದ್‌ಗೆದ್ದರೆ: -ಸಚಿವ	UNK	ಪ್ರಸಾದ್‌ಗೆದ್ದರೆ: -ಸಚಿವ.
ಪದವಿ	NN.n.n.sg..d	ಪದವಿ.0
ಕಿತ್ತುಕೊಂಡ	UNK	ಕಿತ್ತುಕೊಂಡ.
ಸಿಎಂ	NN.unk....	ಸಿಎಂ.
ಸಿದ್ದರಾಮಯ್ಯ	NN.unk....	ಸಿದ್ದರಾಮಯ್ಯ.
ವಿರುದ್ಧ	JJ.avy....	ವಿರುದ್ಧ.
ಸೇಡು	NN.n.n.sg..d	ಸೇಡು.0
ತೀರಿಸಿಕೊಂಡು	UNK	ತೀರಿಸಿಕೊಂಡು.
ಬಿಜೆಪಿಯಲ್ಲಿ	NN.unk....	ಬಿಜೆಪಿಯಲ್ಲಿ.
ಭದ್ರ	JJ.n.n.sg..d	ಭದ್ರ.0
ಬೇರು -ಪ್ರಭಾವಿ	UNK	ಬೇರು -ಪ್ರಭಾವಿ.
ದಲಿತ,	UNK	ದಲಿತ,.
ರಾಷ್ಟ್ರೀಯ	NN.unk....	ರಾಷ್ಟ್ರೀಯ.
ನಾಯಕ	NN.n.m.sg.3.d	ನಾಯಕ.0
ನೆಂದು	NN.unk....	ನೆಂದು.
ಹೊರಹೊಮ್ಮಬಹುದು.	UNK	ಹೊರಹೊಮ್ಮಬಹುದು..
.	SYM.punc....	..


ಸೋತರೆ: -ರಾಜಕೀಯ	UNK	ಸೋತರೆ: -ರಾಜಕೀಯ.
ಭವಿಷ್ಯವೇ	NN.unk....	ಭವಿಷ್ಯವೇ.
ಅಂತ್ಯವಾಗಬಹುದು-ಪಕ್ಷಾಂತರ	UNK	ಅಂತ್ಯವಾಗಬಹುದು-ಪಕ್ಷಾಂತರ.
ನಿರ್ಧಾರ	NN.n.n.sg..d	ನಿರ್ಧಾರ.0
ತಪ್ಪು	NN.n.n.sg..d	ತಪ್ಪು.0
ಎಂದು	PRP.avy....	ಎಂದು.
ಸಾಬೀತು-ಬಿಜೆಪಿಯಲ್ಲಿ	UNK	ಸಾಬೀತು-ಬಿಜೆಪಿಯಲ್ಲಿ.
ಮೂಲೆಗುಂಪು	NN.unk....	ಮೂಲೆಗುಂಪು.
ಸಾಧ್ಯತೆ.	UNK	ಸಾಧ್ಯತೆ..
.	SYM.punc....	..


.	SYM.punc....	..


