ಕನ್ನಡಿಗರ	NNP.n.m.pl.3.o	ಕನ್ನಡಿಗ.ಅ
ಫೆಸ್ಟಿವಲ್‌ಗೆ	UNK	ಫೆಸ್ಟಿವಲ್‌ಗೆ.
ಅಫಿಷಿಯಲ್‌	UNK	ಅಫಿಷಿಯಲ್‌.
ಆಗಿ	VM.v..pl.2.	ಆಗು.0
ಆಯ್ಕೆಯಾಗಿದ್ದು,	UNK	ಆಯ್ಕೆಯಾಗಿದ್ದು,.
ಮೇ	NNP.unk....	ಮೇ.
ತಿಂಗಳಲ್ಲಿ	NN.n.n.sg..o	ತಿಂಗಳು.ಅಲ್ಲಿ
ವರ್ಲ್ಡ್	NN.unk....	ವರ್ಲ್ಡ್.
ಪ್ರೀಮಿಯರ್‌	UNK	ಪ್ರೀಮಿಯರ್‌.
ಆಗಲಿದೆ.	UNK	ಆಗಲಿದೆ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
ಪವನ್‌ಕುಮಾರ್‌	UNK	ಪವನ್‌ಕುಮಾರ್‌.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ನಿರ್ಮಾಣದ	NN.n.n.sg..o	ನಿರ್ಮಾಣ.ಅ
ಮೂರು	QC.n.n.sg..d	ಮೂರು.0
ಚಿತ್ರಗಳು	NN.n.n.pl..d	ಚಿತ್ರ.0
ಹ್ಯಾಟ್ರಿಕ್‌	UNK	ಹ್ಯಾಟ್ರಿಕ್‌.
ವರ್ಲ್ಡ್	NN.unk....	ವರ್ಲ್ಡ್.
ಪ್ರೀಮಿಯರ್‌	UNK	ಪ್ರೀಮಿಯರ್‌.
ಆದಂತಾಗಿವೆ..	UNK	ಆದಂತಾಗಿವೆ...
.	SYM.punc....	..


"ಲೂಸಿಯಾ'	UNK	"ಲೂಸಿಯಾ'.
ಲಂಡನ್‌ನಲ್ಲಿ	UNK	ಲಂಡನ್‌ನಲ್ಲಿ.
ಪ್ರೀಮಿಯರ್‌	UNK	ಪ್ರೀಮಿಯರ್‌.
ಆಗಿತ್ತು.	UNK	ಆಗಿತ್ತು..
.	SYM.punc....	..


"ಯು	UNK	"ಯು.
ಟರ್ನ್'	UNK	ಟರ್ನ್'.
ನ್ಯೂಯಾರ್ಕ್‌ನಲ್ಲಿ	UNK	ನ್ಯೂಯಾರ್ಕ್‌ನಲ್ಲಿ.
ಪ್ರೀಮಿಯರ್‌	UNK	ಪ್ರೀಮಿಯರ್‌.
ಆಗಿತ್ತು.	UNK	ಆಗಿತ್ತು..
.	SYM.punc....	..


ಈಗ	NST.avy....	ಈಗ.
"ಒಂದು	UNK	"ಒಂದು.
ಮೊಟ್ಟೆಯ	NN.n.n.sg..o	ಮೊಟ್ಟೆ.ಅ
ಕಥೆ'	UNK	ಕಥೆ'.
ಕೂಡ	RP.avy....	ಕೂಡ.
ಪುನಃ	RB.avy....	ಪುನಃ.
ನ್ಯೂಯಾರ್ಕ್‌ನಲ್ಲಿ	UNK	ನ್ಯೂಯಾರ್ಕ್‌ನಲ್ಲಿ.
ವರ್ಲ್ಡ್	NN.unk....	ವರ್ಲ್ಡ್.
ಪ್ರೀಮಿಯರ್‌	UNK	ಪ್ರೀಮಿಯರ್‌.
ಆಗುತ್ತಿದೆ.	UNK	ಆಗುತ್ತಿದೆ..
.	SYM.punc....	..


ಸದ್ಯಕ್ಕೆ	NN.n.n.sg..o	ಸದ್ಯ.ಇಗೆ
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಮಾಹಿತಿ	NN.n.n.sg..d	ಮಾಹಿತಿ.0
ಇಷ್ಟೇ.	UNK	ಇಷ್ಟೇ..
.	SYM.punc....	..


ಉಳಿದಂತೆ	VM.v.any.any.any.	ಉಳಿ.ಅಂತೆ
ಪವನ್‌ಕುಮಾರ್‌,	UNK	ಪವನ್‌ಕುಮಾರ್‌,.
ಮೊದಲು	NST.n.n.sg..d	ಮೊದಲು.0
ವಿದೇಶದಲ್ಲಿ	NN.n.n.sg..o	ವಿದೇಶ.ಅಲ್ಲಿ
ಸುತ್ತಾಡಿದ	VM.unk....	ಸುತ್ತಾಡಿದ.
ಬಳಿಕ	RB.avy....	ಬಳಿಕ.
ಇಲ್ಲಿಗೆ	NST.avy....	ಇಲ್ಲಿಗೆ.
ಬಂದು	VM.v.any.any.any.	ಬರು.ದು
"ಮೊಟ್ಟೆ'	UNK	"ಮೊಟ್ಟೆ'.
ಕಥೆ	NN.n.n.sg..d	ಕಥೆ.0
ಹೇಳಿಕೊಳ್ಳಲಿದ್ದಾರೆ..	UNK	ಹೇಳಿಕೊಳ್ಳಲಿದ್ದಾರೆ...
.	SYM.punc....	..


.	SYM.punc....	..


