ತುಂಬಾ	INTF.avy....	ತುಂಬಾ.
ಮತ್ತೂಂದು	VM.unk....	ಮತ್ತೂಂದು.
ವಿಶೇಷವೆಂದರೆ	VM.unk....	ವಿಶೇಷವೆಂದರೆ.
ತುಳು	NN.n.n.sg..d	ತುಳು.0
ಚಿತ್ರರಂಗದ	NN.unk....	ಚಿತ್ರರಂಗದ.
ಎಲ್ಲಾ	JJ.avy....	ಎಲ್ಲಾ.
ಹಾಸ್ಯ	NN.n.n.sg..d	ಹಾಸ್ಯ.0
ನಟರನ್ನು	NN.n.m.pl.3.o	ನಟ.ಅನ್ನು
ಇಲ್ಲಿ	NST.avy....	ಇಲ್ಲಿ.
ಬಳಸಿಕೊಳ್ಳಲಾಗಿದೆ.	UNK	ಬಳಸಿಕೊಳ್ಳಲಾಗಿದೆ..
.	SYM.punc....	..


ಹಾಗಾಗಿ,	UNK	ಹಾಗಾಗಿ,.
ಪ್ರೇಕ್ಷಕರಿಗಗೆ	UNK	ಪ್ರೇಕ್ಷಕರಿಗಗೆ.
ಕಾಮಿಡಿಯೂ	UNK	ಕಾಮಿಡಿಯೂ.
ಮಜಾ	NN.n.n.sg..d	ಮಜಾ.0
ಕೊಡಲಿದೆ	UNK	ಕೊಡಲಿದೆ.
ಎಂಬುದು	PRP.n.n.sg..d	ಎಂಬುದು.0
ಚಿತ್ರತಂಡದ	NN.unk....	ಚಿತ್ರತಂಡದ.
ಮಾತು.	UNK	ಮಾತು..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಬಗ್ಗೆ	NN.avy....	ಬಗ್ಗೆ.
ಮಾತನಾಡುವ	VM.v.any.any.any.	ಮಾತನಾಡು.ವ
ನಿರ್ಮಾಪಕ	JJ.n.m.sg.3.d	ನಿರ್ಮಾಪಕ.0
ರೋಹನ್‌	UNK	ರೋಹನ್‌.
ಶೆಟ್ಟಿ,	UNK	ಶೆಟ್ಟಿ,.
"ಪಿಲಿಬೈಲಿನಲ್ಲೂ	UNK	"ಪಿಲಿಬೈಲಿನಲ್ಲೂ.
ಕಾಮಿಡಿ	NN.unk....	ಕಾಮಿಡಿ.
ಇದೆ.	UNK	ಇದೆ..
.	SYM.punc....	..


ಅದರ	PRP.n.n.sg..o	ಅದು.ಅ
ಜತೆಯಲ್ಲಿ	NN.n.n.sg..o	ಜತೆ.ಅಲ್ಲಿ
ಈಗಿನ	NN.unk....	ಈಗಿನ.
ಜನರೇಷನ್‌	UNK	ಜನರೇಷನ್‌.
ಯಾವ	WQ.avy....	ಯಾವ.
ರೀತಿ	NN.n.n.sg..d	ರೀತಿ.0
ಇದೆ	VM.avy....	ಇದೆ.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಸಂದೇಶ	NN.n.n.sg..d	ಸಂದೇಶ.0
ಕೂಡಾ	NN.avy....	ಕೂಡಾ.
ಇದೆ.	UNK	ಇದೆ..
.	SYM.punc....	..


ಮೇಕಿಂಗ್‌ನಿಂದ	UNK	ಮೇಕಿಂಗ್‌ನಿಂದ.
ಹಿಡಿದು	VM.v.any.any.any.	ಹಿಡಿ.ದು
ಎಲ್ಲ	JJ.n.n.sg..d	ಎಲ್ಲ.0
ವಿಷಯಗಳಲ್ಲೂ	NN.unk....	ವಿಷಯಗಳಲ್ಲೂ.
ಚಿತ್ರ	NN.n.n.sg..d	ಚಿತ್ರ.0
ಅದ್ಭುತವಾಗಿ	RB.unk....	ಅದ್ಭುತವಾಗಿ.
ಬಂದಿದೆ.	UNK	ಬಂದಿದೆ..
.	SYM.punc....	..


"ಉತ್ತಮ	UNK	"ಉತ್ತಮ.
ಸಿನೆಮಾಗಳನ್ನು	NN.n.n.pl..o	ಸಿನೆಮಾ.ಅನ್ನು
ಬಯಸುವ	VM.v.any.any.any.	ಬಯಸು.ವ
ಪ್ರೇಕ್ಷಕ	JJ.n.m.sg.3.d	ಪ್ರೇಕ್ಷಕ.0
"ಪಿಲಿಬೈಲ್‌'	UNK	"ಪಿಲಿಬೈಲ್‌'.
ಗೆಲ್ಲಿಸುತ್ತಾರೆ	VM.unk....	ಗೆಲ್ಲಿಸುತ್ತಾರೆ.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ನಂಬಿಕೆಯಿದೆ'	UNK	ನಂಬಿಕೆಯಿದೆ'.
ಎನ್ನುತ್ತಾರೆ.	UNK	ಎನ್ನುತ್ತಾರೆ..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
ನಾಗರಾಜ್‌	UNK	ನಾಗರಾಜ್‌.
ಅಂಬರ್‌	UNK	ಅಂಬರ್‌.
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
 ಸೋನಾಲ್‌	UNK	 ಸೋನಾಲ್‌.
ನಾಯಕ-ನಾಯಕಿಯಾಗಿ	UNK	ನಾಯಕ-ನಾಯಕಿಯಾಗಿ.
ನಟಿಸಿದ್ದಾರೆ.	UNK	ನಟಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


ಉಳಿದಂತೆ	VM.v.any.any.any.	ಉಳಿ.ಅಂತೆ
ನವೀನ್‌.ಡಿ.ಪಡೀಲ್‌,	UNK	ನವೀನ್‌.ಡಿ.ಪಡೀಲ್‌,.
ಅರವಿಂದ್‌	UNK	ಅರವಿಂದ್‌.
ಬೋಳಾರ್‌,	UNK	ಬೋಳಾರ್‌,.
ಭೋಜರಾಜ್‌	UNK	ಭೋಜರಾಜ್‌.
ವಾಮಂಜೂರು,	UNK	ವಾಮಂಜೂರು,.
ಸತೀಶ್‌	UNK	ಸತೀಶ್‌.
ಬಂದಲೆ,	UNK	ಬಂದಲೆ,.
ಮಂಜು	NN.n.n.sg..d	ಮಂಜು.0
ರೈ	NN.unk....	ರೈ.
,	SYM.punc....	,.
ವಿಸ್ಮಯ	NN.n.n.sg..d	ವಿಸ್ಮಯ.0
ವಿನಾಯಕ್‌,	UNK	ವಿನಾಯಕ್‌,.
ಉಮೇಶ್‌	UNK	ಉಮೇಶ್‌.
ಮಿಜಾರು	NN.unk....	ಮಿಜಾರು.
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಸುನೀಲ್‌	UNK	ಸುನೀಲ್‌.
ನೆಲ್ಲಿಗುಡ್ಡೆ	NN.unk....	ನೆಲ್ಲಿಗುಡ್ಡೆ.
ಸೇರಿದಂತೆ	VM.v.any.any.any.	ಸೇರು.ಅಂತೆ
ಅನೇಕರು	NN.n.m.sg.3.d	ಅನೇಕರು.0
ನಟಿಸಿದ್ದಾರೆ.	UNK	ನಟಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


"ಪುಟ್ಟಗೌರಿ	UNK	"ಪುಟ್ಟಗೌರಿ.
ಮದುವೆ'	UNK	ಮದುವೆ'.
ಧಾರಾವಾಹಿಯ	NN.n.n.sg..o	ಧಾರಾವಾಹಿ.ಅ
ಪಾತ್ರಧಾರಿ	NN.n.m.sg.3.d	ಪಾತ್ರಧಾರಿ.0
ಚಂದ್ರಕಲಾ	NN.unk....	ಚಂದ್ರಕಲಾ.
ಮೋಹನ್‌	UNK	ಮೋಹನ್‌.
ಅವರು	PRP.n.f.pl.3.d	ಅವಳು.0
ಇಲ್ಲಿ	NST.avy....	ಇಲ್ಲಿ.
"ಯಮುನಕ್ಕ'	UNK	"ಯಮುನಕ್ಕ'.
ಪಾತ್ರ	NN.n.n.sg..d	ಪಾತ್ರ.0
ಮಾಡಿದ್ದಾರೆ.	UNK	ಮಾಡಿದ್ದಾರೆ..
.	SYM.punc....	..


 ಚಿತ್ರಕ್ಕೆ	UNK	 ಚಿತ್ರಕ್ಕೆ.
ಕಿಶೋರ್‌	UNK	ಕಿಶೋರ್‌.
ಕುಮಾರ್‌	UNK	ಕುಮಾರ್‌.
ಶೆಟ್ಟಿ	NN.n.m.sg.3.d	ಶೆಟ್ಟಿ.0
ಸಂಗೀತ,	UNK	ಸಂಗೀತ,.
ಕೀರ್ತನ್‌	UNK	ಕೀರ್ತನ್‌.
ಛಾಯಾಗ್ರಹಣ,	UNK	ಛಾಯಾಗ್ರಹಣ,.
ಲಿಂಗರಾಜು	UNK	ಲಿಂಗರಾಜು.
ಸಂಕಲನ	NN.n.n.sg..d	ಸಂಕಲನ.0
ಚಿತ್ರಕ್ಕಿದೆ.	UNK	ಚಿತ್ರಕ್ಕಿದೆ..
.	SYM.punc....	..


ಚಿತ್ರವನ್ನು	NN.n.n.sg..o	ಚಿತ್ರ.ಅನ್ನು
ರೋಹನ್‌	UNK	ರೋಹನ್‌.
ಶೆಟ್ಟಿ,	UNK	ಶೆಟ್ಟಿ,.
ಹರೀಶ್‌	UNK	ಹರೀಶ್‌.
ರಾವ್‌	UNK	ರಾವ್‌.
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಸಂದೇಶ್‌	UNK	ಸಂದೇಶ್‌.
ರಾಜ್‌	UNK	ರಾಜ್‌.
ಬಂಗೇರಾ	UNK	ಬಂಗೇರಾ.
ನಿರ್ಮಾಣ	NN.n.n.sg..d	ನಿರ್ಮಾಣ.0
ಮಾಡಿದ್ದಾರೆ.	UNK	ಮಾಡಿದ್ದಾರೆ..
.	SYM.punc....	..


ಈಗಾಗಲೇ	NST.avy....	ಈಗಾಗಲೇ.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಹಾಡುಗಳು	NN.n.n.pl..d	ಹಾಡು.0
ಕೂಡಾ	NN.avy....	ಕೂಡಾ.
ಹಿಟ್‌	UNK	ಹಿಟ್‌.
ಆಗಿವೆ.	UNK	ಆಗಿವೆ..
.	SYM.punc....	..


 ಭಾಗವತ	UNK	 ಭಾಗವತ.
ಸತೀಶ್‌	UNK	ಸತೀಶ್‌.
ಶೆಟ್ಟಿ	NN.n.m.sg.3.d	ಶೆಟ್ಟಿ.0
ಪಟ್ಲ	NN.unk....	ಪಟ್ಲ.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಭಾಗವತಿಕೆ	NN.unk....	ಭಾಗವತಿಕೆ.
ಶೈಲಿಯ	NN.n.n.sg..o	ಶೈಲಿ.ಅ
ಹಾಡು	NN.n.n.sg..d	ಹಾಡು.0
ಜನಮೆಚ್ಚುಗೆ	NN.unk....	ಜನಮೆಚ್ಚುಗೆ.
ಪಡೆದಿದೆ..	UNK	ಪಡೆದಿದೆ...
.	SYM.punc....	..


.	SYM.punc....	..


