ನಿರ್ಮಾಪಕ	JJ.n.m.sg.3.d	ನಿರ್ಮಾಪಕ.0
ಕೂಡಾ	NN.avy....	ಕೂಡಾ.
ಗೆಸ್ಟ್‌	UNK	ಗೆಸ್ಟ್‌.
ಅಪಿಯರೆನ್ಸ್‌	UNK	ಅಪಿಯರೆನ್ಸ್‌.
ಮಾಡಿದ್ದಾರೆ.	UNK	ಮಾಡಿದ್ದಾರೆ..
.	SYM.punc....	..


ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಹಾಡೊಂದರಲ್ಲಿ	UNK	ಹಾಡೊಂದರಲ್ಲಿ.
ಪ್ರಥಮ್‌	UNK	ಪ್ರಥಮ್‌.
ಕಾಣಿಸಿಕೊಂಡಿದ್ದು,	UNK	ಕಾಣಿಸಿಕೊಂಡಿದ್ದು,.
ಈಗಾಗಲೇ	NST.avy....	ಈಗಾಗಲೇ.
ಆ	DEM.avy....	ಆ.
ಹಾಡಿನ	NN.n.n.sg..o	ಹಾಡು.ಅ
ಚಿತ್ರೀಕರಣ	NN.unk....	ಚಿತ್ರೀಕರಣ.
ಕೂಡಾ	NN.avy....	ಕೂಡಾ.
ನಡೆದು	VM.v.any.any.any.	ನಡೆ.ದು
ಹೋಗಿದೆ.	UNK	ಹೋಗಿದೆ..
.	SYM.punc....	..


ಇನ್ನು,	UNK	ಇನ್ನು,.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಟೇಲರ್‌	UNK	ಟೇಲರ್‌.
ಕೂಡಾ	NN.avy....	ಕೂಡಾ.
ಐದು	QC.n.n.sg..d	ಐದು.0
ಲಕ್ಷಕ್ಕೂ	NN.n.n.sg..o	ಲಕ್ಷ.ಇಗೆ
ಅಧಿಕ	JJ.unk....	ಅಧಿಕ.
ಲೈಕ್ಸ್‌	UNK	ಲೈಕ್ಸ್‌.
ಪಡೆದಿದ್ದು	VM.v.any.any.any.	ಪಡೆ.ಅದ್ದು
ಕೂಡಾ	NN.avy....	ಕೂಡಾ.
ಚಿತ್ರತಂಡದ	NN.unk....	ಚಿತ್ರತಂಡದ.
ಖುಷಿಗೆ	NN.n.n.sg..o	ಖುಷಿ.ಇಗೆ
ಕಾರಣವಾಗಿದೆ.	UNK	ಕಾರಣವಾಗಿದೆ..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


ಅಂದಹಾಗೆ,	UNK	ಅಂದಹಾಗೆ,.
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರವನ್ನು	NN.n.n.sg..o	ಚಿತ್ರ.ಅನ್ನು
ನರೇಶ್‌	UNK	ನರೇಶ್‌.
ಕುಮಾರ್‌	UNK	ಕುಮಾರ್‌.
ನಿರ್ದೇಶನ	NN.n.n.sg..d	ನಿರ್ದೇಶನ.0
ಮಾಡುತ್ತಿದ್ದಾರೆ.	UNK	ಮಾಡುತ್ತಿದ್ದಾರೆ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಹಿಂದೆ	NST.avy....	ಹಿಂದೆ.
"ಫ‌ಸ್ಟ್‌	UNK	"ಫ‌ಸ್ಟ್‌.
ರ್‍ಯಾಂಕ್‌	UNK	ರ್‍ಯಾಂಕ್‌.
ರಾಜು'	UNK	ರಾಜು'.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
ಗಾಂಧಿನಗರದಲ್ಲಿ	NNP.unk....	ಗಾಂಧಿನಗರದಲ್ಲಿ.
ಸುದ್ದಿಯಾದ	JJ.unk....	ಸುದ್ದಿಯಾದ.
ನರೇಶ್‌	UNK	ನರೇಶ್‌.
ಈಗ	NST.avy....	ಈಗ.
ಮತ್ತೂಮ್ಮೆ	NST.unk....	ಮತ್ತೂಮ್ಮೆ.
ಗುರುನಂದನ್‌	UNK	ಗುರುನಂದನ್‌.
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಮಾಡುತ್ತಿದ್ದಾರೆ.	UNK	ಮಾಡುತ್ತಿದ್ದಾರೆ..
.	SYM.punc....	..


ಗುರುನಂದನ್‌	UNK	ಗುರುನಂದನ್‌.
ಕೂಡಾ	NN.avy....	ಕೂಡಾ.
"ಫ‌ಸ್ಟ್‌	UNK	"ಫ‌ಸ್ಟ್‌.
ರ್‍ಯಾಂಕ್‌	UNK	ರ್‍ಯಾಂಕ್‌.
ರಾಜು'	UNK	ರಾಜು'.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
ಗುರುತಿಸಿಕೊಂಡವರು.	UNK	ಗುರುತಿಸಿಕೊಂಡವರು..
.	SYM.punc....	..


ಚಿತ್ರಕ್ಕೆ	NN.n.n.sg..o	ಚಿತ್ರ.ಇಗೆ
ಕಿರಣ್‌	UNK	ಕಿರಣ್‌.
ರವೀಂದ್ರನಾಥ್‌	UNK	ರವೀಂದ್ರನಾಥ್‌.
ಸಂಗೀತ,	UNK	ಸಂಗೀತ,.
ಶೇಖರ್‌ಚಂದ್ರ	UNK	ಶೇಖರ್‌ಚಂದ್ರ.
ಛಾಯಾಗ್ರಹಣವಿದೆ.	UNK	ಛಾಯಾಗ್ರಹಣವಿದೆ..
.	SYM.punc....	..


 ಮೇ	UNK	 ಮೇ.
ಕೊನೆ	NN.n.n.sg..d	ಕೊನೆ.0
ವಾರದಲ್ಲಿ	NN.n.n.sg..o	ವಾರ.ಅಲ್ಲಿ
ಚಿತ್ರ	NN.n.n.sg..d	ಚಿತ್ರ.0
ಬಿಡುಗಡೆ	NN.n.n.sg..d	ಬಿಡುಗಡೆ.0
ಮಾಡುವ	VM.v.any.any.any.	ಮಾಡು.ವ
ಸಿದ್ಧತೆಯಲ್ಲಿದೆ	UNK	ಸಿದ್ಧತೆಯಲ್ಲಿದೆ.
ಚಿತ್ರತಂಡ..	UNK	ಚಿತ್ರತಂಡ...
.	SYM.punc....	..


.	SYM.punc....	..


