ಮಂಗಳೂರು	NNP.unk....	ಮಂಗಳೂರು.
ನಗರದ	NN.n.n.sg..o	ನಗರ.ಅ
ಖಾಸಗಿ	JJ.n.n.sg..d	ಖಾಸಗಿ.0
ಆಸ್ಪತ್ರೆಗೆ	NN.n.n.sg..o	ಆಸ್ಪತ್ರೆ.ಇಗೆ
ಸೇರಿಸಲಾಗಿದೆ	VM.v.any.any.any.	ಸೇರಿಸು.ಅಲಾಗಿದೆ
ಎಂದು	PRP.avy....	ಎಂದು.
ತಿಳಿದುಬಂದಿದೆ.	UNK	ತಿಳಿದುಬಂದಿದೆ..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


ಪೊಲೀಸ್‌	UNK	ಪೊಲೀಸ್‌.
ಆಯುಕ್ತ	JJ.n.m.sg.3.d	ಆಯುಕ್ತ.0
ಚಂದ್ರಶೇಖರ್‌,	UNK	ಚಂದ್ರಶೇಖರ್‌,.
ಡಿಸಿಪಿ	NN.unk....	ಡಿಸಿಪಿ.
ಡಾ.	UNK	ಡಾ..
.	SYM.punc....	..


ಸಂಜೀವ್‌	UNK	ಸಂಜೀವ್‌.
ಪಾಟೀಲ್‌	UNK	ಪಾಟೀಲ್‌.
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಇತರ	JJ.unk....	ಇತರ.
ಹಿರಿಯ	NN.unk....	ಹಿರಿಯ.
ಪೊಲೀಸ್‌	UNK	ಪೊಲೀಸ್‌.
ಅಧಿಕಾರಿಗಳು	NN.n.m.pl.3.d	ಅಧಿಕಾರಿ.0
ಸ್ಥಳಕ್ಕೆ	NN.n.n.sg..o	ಸ್ಥಳ.ಇಗೆ
ಭೇಟಿ	NN.n.n.sg..d	ಭೇಟಿ.0
ನೀಡಿ	VM.v..pl.2.	ನೀಡು.0
ಪರಿಶೀಲನೆ	NN.n.n.sg..d	ಪರಿಶೀಲನೆ.0
ನಡೆಸಿ	VM.v..pl.2.	ನಡೆಸು.0
ಬಳಿಕ	RB.avy....	ಬಳಿಕ.
ಆಸ್ಪತ್ರೆಗೆ	NN.n.n.sg..o	ಆಸ್ಪತ್ರೆ.ಇಗೆ
ತೆರಳಿ	NN.v..pl.2.	ತೆರಳು.0
ಐತಪ್ಪ	UNK	ಐತಪ್ಪ.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಆರೋಗ್ಯವನ್ನು	NN.n.n.sg..o	ಆರೋಗ್ಯ.ಅನ್ನು
ವಿಚಾರಿಸಿದ್ದಾರೆ.	UNK	ವಿಚಾರಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


ಐತಪ್ಪ	UNK	ಐತಪ್ಪ.
ಅವರು	PRP.n.f.pl.3.d	ಅವಳು.0
ಪ್ರಾಣಾಪಾಯದಿಂದ	NN.unk....	ಪ್ರಾಣಾಪಾಯದಿಂದ.
ಪಾರಾಗಿದ್ದು	VM.v.any.any.any.	ಪಾರಾಗು.ಇದ್ದುದು
ಚಿಕಿತ್ಸೆಗೆ	NN.n.n.sg..o	ಚಿಕಿತ್ಸೆ.ಇಗೆ
ಸ್ಪಂದಿಸುತ್ತಿರುವುದಾಗಿ	UNK	ಸ್ಪಂದಿಸುತ್ತಿರುವುದಾಗಿ.
ಮೂಲಗಳು	NN.n.n.pl..d	ಮೂಲ.0
ತಿಳಿಸಿವೆ.	UNK	ತಿಳಿಸಿವೆ..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


.	SYM.punc....	..


