ಎರಡನೇ	QO.avy....	ಎರಡನೇ.
ತಮಗೆ	PRP.pn..pl.1.o	ತಾನು.ಇಗೆ
ಮಾತ್ರಗುರುಪ್ರಸಾದ್‌	UNK	ಮಾತ್ರಗುರುಪ್ರಸಾದ್‌.
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಕೆಲಸ	NN.n.n.sg..d	ಕೆಲಸ.0
ಮಾಡುವುದು	VM.v.n.sg.3.	ಮಾಡು.ಉವ್
ಹೋಂ	NN.unk....	ಹೋಂ.
ಪಿಚ್‌ನಲ್ಲಿ	UNK	ಪಿಚ್‌ನಲ್ಲಿ.
ಕ್ರಿಕೆಟ್‌	UNK	ಕ್ರಿಕೆಟ್‌.
ಆಡುವುದಕ್ಕೆ	NN.v.any.any.any.	ಆಡು.ಅಲೆಂದು
ಹೋಲಿಸುತ್ತಾರೆ	VM.v.n.pl.3.	ಹೋಲಿಸು.ಉತ್ತ್
ಧನಂಜಯ್‌.	UNK	ಧನಂಜಯ್‌..
.	SYM.punc....	..


ಅದಕ್ಕೆ	PRP.n.n.sg..o	ಅದು.ಇಗೆ
ಕಾರಣವೂ	NN.n.n.sg..d	ಕಾರಣ.0
ಇದೆ.	UNK	ಇದೆ..
.	SYM.punc....	..


ಗುರುಪ್ರಸಾದ್‌	UNK	ಗುರುಪ್ರಸಾದ್‌.
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಎರಡು	QC.n.n.sg..d	ಎರಡು.0
ಚಿತ್ರಗಳನ್ನು	NN.n.n.pl..o	ಚಿತ್ರ.ಅನ್ನು
ಮಾಡಿದ್ದಾರೆ	VM.v.n.pl.3.	ಮಾಡು.ಉತ್ತ್
ಧನಂಜಯ್‌.	UNK	ಧನಂಜಯ್‌..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಎರಡು	QC.n.n.sg..d	ಎರಡು.0
ಚಿತ್ರಗಳಿಗೆ	NN.n.n.pl..o	ಚಿತ್ರ.ಇಗೆ
ಆಗಿರುವುದು	VM.v.n.sg.3.	ಆಗು.ಉವ್
ಆರು	QC.n.n.sg..d	ಆರು.0
ವರ್ಷ.	UNK	ವರ್ಷ..
.	SYM.punc....	..


ಹಾಗಾಗಿ	NN.avy....	ಹಾಗಾಗಿ.
ಗುರುಪ್ರಸಾದ್‌	UNK	ಗುರುಪ್ರಸಾದ್‌.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಕಾರ್ಯವೈಖರಿ	NN.unk....	ಕಾರ್ಯವೈಖರಿ.
ಹೇಗೆ,	UNK	ಹೇಗೆ,.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಕೆಲಸ	NN.n.n.sg..d	ಕೆಲಸ.0
ಮಾಡುವಾಗ	VM.v.any.any.any.	ಮಾಡು.ವಾಗ
ಆಗುವ	VM.v.any.any.any.	ಆಗು.ವ
ಕಷ್ಟಗಳೇನು	NN.unk....	ಕಷ್ಟಗಳೇನು.
ಎಂಬುದೆಲ್ಲಾ	PRP.unk....	ಎಂಬುದೆಲ್ಲಾ.
ಧನಂಜಯ್‌ಗೆ	UNK	ಧನಂಜಯ್‌ಗೆ.
ಗೊತ್ತಾಗಿದೆಯಂತೆ..	UNK	ಗೊತ್ತಾಗಿದೆಯಂತೆ...
.	SYM.punc....	..


"ಆರು	UNK	"ಆರು.
ವರ್ಷ	NN.n.n.sg..d	ವರ್ಷ.0
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಕಳೆದಿದ್ದೀನಿ	UNK	ಕಳೆದಿದ್ದೀನಿ.
ನಾನು.	UNK	ನಾನು..
.	SYM.punc....	..


ಒಬ್ಬೊಬ್ಬರದ್ದು	UNK	ಒಬ್ಬೊಬ್ಬರದ್ದು.
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಸ್ಟೈಲ್‌	UNK	ಸ್ಟೈಲ್‌.
ಇರುತ್ತೆ.	UNK	ಇರುತ್ತೆ..
.	SYM.punc....	..


ಹಾಗೆಯೇ	CC.avy....	ಹಾಗೆಯೇ.
ಗುರುಪ್ರಸಾದ್‌	UNK	ಗುರುಪ್ರಸಾದ್‌.
ಅವರದ್ದು	PRP.n.f.pl.3.o	ಅವಳು.ಅದ್ದು
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಸ್ಟೈಲ್‌.	UNK	ಸ್ಟೈಲ್‌..
.	SYM.punc....	..


ನಾವು	PRP.pn..pl.1.o	ನಾನು.0
ಕಲಾವಿದರು,	UNK	ಕಲಾವಿದರು,.
ನಿರ್ಮಾಪಕರು	NN.n.m.pl.3.d	ನಿರ್ಮಾಪಕ.0
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ನಿರ್ದೇಶಕರನ್ನ	NN.unk....	ನಿರ್ದೇಶಕರನ್ನ.
ಅವಲಂಬಿಸಿ	VM.v..pl.2.	ಅವಲಂಬಿಸು.0
ಕೆಲಸ	NN.n.n.sg..d	ಕೆಲಸ.0
ಮಾಡುವುದರಿಂದ	VM.v.any.any.any.	ಮಾಡು.ವುದರಿಂದ
ಅವರಿಗೆ	PRP.n.f.pl.3.o	ಅವಳು.ಇಗೆ
ತೂಗಿಸಿಕೊಂಡು	UNK	ತೂಗಿಸಿಕೊಂಡು.
ಹೋಗಬೇಕು.	UNK	ಹೋಗಬೇಕು..
.	SYM.punc....	..


ಹಾಗಾಗಿ	RB.avy....	ಹಾಗಾಗಿ.
ನನಗೆ	PRP.pn..sg.1.o	ನಾನು.ಇಗೆ
ಕಷ್ಟ	NN.n.n.sg..d	ಕಷ್ಟ.0
ಅನಿಸಲಿಲ್ಲ'	UNK	ಅನಿಸಲಿಲ್ಲ'.
ಎಂದರು..	UNK	ಎಂದರು...
.	SYM.punc....	..


ಧನಂಜಯ್‌	UNK	ಧನಂಜಯ್‌.
ಇಷ್ಟೆಲ್ಲಾ	JJ.unk....	ಇಷ್ಟೆಲ್ಲಾ.
ಮಾತಾಡಿದ್ದು	VM.v.any.any.any.	ಮಾತಾಡು.ಅದ್ದು
"ಎರಡನೇ	UNK	"ಎರಡನೇ.
ಸಲ'	UNK	ಸಲ'.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಹಾಡುಗಳ	NN.n.n.pl..o	ಹಾಡು.ಅ
ಬಿಡುಗಡೆ	NN.n.n.sg..d	ಬಿಡುಗಡೆ.0
ಸಮಾರಂಭದಲ್ಲಿ.	UNK	ಸಮಾರಂಭದಲ್ಲಿ..
.	SYM.punc....	..


ಸಾಮಾನ್ಯವಾಗಿ	RB.unk....	ಸಾಮಾನ್ಯವಾಗಿ.
ಗುರುಪ್ರಸಾದ್‌	UNK	ಗುರುಪ್ರಸಾದ್‌.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಸಮಾರಂಭಗಳಲ್ಲಿ	NN.n.n.pl..o	ಸಮಾರಂಭ.ಅಲ್ಲಿ
ಅಥವಾ	CC.avy....	ಅಥವಾ.
ಪತ್ರಿಕಾಗೋಷ್ಠಿಗಳಲ್ಲಿ	NN.n.n.pl..o	ಪತ್ರಿಕಾಗೋಷ್ಠಿ.ಅಲ್ಲಿ
ಅವರದ್ದೇ	PRP.unk....	ಅವರದ್ದೇ.
ಹೆಚ್ಚು	QF.v..sg.2.	ಹೆಚ್ಚು.0
ಮಾತು.	UNK	ಮಾತು..
.	SYM.punc....	..


ಆದರೆ,	UNK	ಆದರೆ,.
"ಎರಡನೇ	UNK	"ಎರಡನೇ.
ಸಲ'	UNK	ಸಲ'.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಆಡಿಯೋ	NN.unk....	ಆಡಿಯೋ.
ಬಿಡುಗಡೆ	NN.n.n.sg..d	ಬಿಡುಗಡೆ.0
ಸಮಾರಂಭದಲ್ಲಿ	NN.n.n.sg..o	ಸಮಾರಂಭ.ಅಲ್ಲಿ
ಅವರಿರಲಿಲ್ಲ.	UNK	ಅವರಿರಲಿಲ್ಲ..
.	SYM.punc....	..


ಚಿತ್ರ	NN.n.n.sg..d	ಚಿತ್ರ.0
ತಡ	NN.n.n.sg..d	ತಡ.0
ಆಗಿದ್ದಕ್ಕೂ,	UNK	ಆಗಿದ್ದಕ್ಕೂ,.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಗೈರುಹಾಜರಿಗೂ	UNK	ಗೈರುಹಾಜರಿಗೂ.
ಏನಾದರೂ	PRP.avy....	ಏನಾದರೂ.
ಸಂಬಂಧ	NN.n.n.sg..d	ಸಂಬಂಧ.0
ಇರಬಹುದಾ	VM.unk....	ಇರಬಹುದಾ.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಪ್ರಶ್ನೆ	NN.n.n.sg..d	ಪ್ರಶ್ನೆ.0
ಇಣುಕಿದ್ದು	UNK	ಇಣುಕಿದ್ದು.
ನಿಜ.	UNK	ನಿಜ..
.	SYM.punc....	..


ಆದರೆ,	UNK	ಆದರೆ,.
ಅವರು	PRP.n.f.pl.3.d	ಅವಳು.0
ಊರಲಿಲ್ಲ	UNK	ಊರಲಿಲ್ಲ.
ಎಂದು	PRP.avy....	ಎಂದು.
ನಿರೂಪಕಿ	NN.unk....	ನಿರೂಪಕಿ.
ಹೇಳಿದ್ದರಿಂದ,	UNK	ಹೇಳಿದ್ದರಿಂದ,.
ಆ	DEM.avy....	ಆ.
ವಿಷಯ	NN.n.n.sg..d	ವಿಷಯ.0
ಹೆಚ್ಚು	QF.v..sg.2.	ಹೆಚ್ಚು.0
ಸುದ್ದಿಯಾಗಲಿಲ್ಲ.	UNK	ಸುದ್ದಿಯಾಗಲಿಲ್ಲ..
.	SYM.punc....	..


ಹೀಗೆ	RB.avy....	ಹೀಗೆ.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಅನುಪಸ್ಥಿತಿಯಲ್ಲಿ	NN.n.n.sg..o	ಅನುಪಸ್ಥಿತಿ.ಅಲ್ಲಿ
ಹಾಡುಗಳು	NN.n.n.pl..d	ಹಾಡು.0
ಬಿಡುಗಡೆಯಾದವು	VM.unk....	ಬಿಡುಗಡೆಯಾದವು.
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಅನುಪಸ್ಥಿತಿಯಲ್ಲೇ	UNK	ಅನುಪಸ್ಥಿತಿಯಲ್ಲೇ.
ನಿರ್ದೇಶಕ	NN.n.m.sg.3.d	ನಿರ್ದೇಶಕ.0
ವಿಜಯಪ್ರಸಾದ್‌,	UNK	ವಿಜಯಪ್ರಸಾದ್‌,.
ಹಿರಿಯ	JJ.unk....	ಹಿರಿಯ.
ಗಾಯಕಿ	NN.unk....	ಗಾಯಕಿ.
ಬಿ.ಆರ್‌.	UNK	ಬಿ.ಆರ್‌..
.	SYM.punc....	..


ಛಾಯಾ,	UNK	ಛಾಯಾ,.
ನಾಯಕಿ	NN.n.f.sg.3.d	ನಾಯಕಿ.0
ಸಂಗೀತ	NN.n.n.sg..d	ಸಂಗೀತ.0
ಭಟ್‌,	UNK	ಭಟ್‌,.
ಸಂಗೀತ	NN.n.n.sg..d	ಸಂಗೀತ.0
ನಿರ್ದೇಶಕ	NN.n.m.sg.3.d	ನಿರ್ದೇಶಕ.0
ಅನೂಪ್‌	UNK	ಅನೂಪ್‌.
ಸೀಳಿನ್‌,	UNK	ಸೀಳಿನ್‌,.
ನಿರ್ಮಾಪಕ	JJ.n.m.sg.3.d	ನಿರ್ಮಾಪಕ.0
ಯೋಗೀಶ್‌	UNK	ಯೋಗೀಶ್‌.
ನಾರಾಯಣ್‌,	UNK	ನಾರಾಯಣ್‌,.
ತೂಗುದೀಪ	NN.n.n.sg..d	ತೂಗುದೀಪ.0
ಫಿಲಮ್ಸ್‌ನ	UNK	ಫಿಲಮ್ಸ್‌ನ.
ಮಲ್ಲಿಕಾರ್ಜುನ್‌,	UNK	ಮಲ್ಲಿಕಾರ್ಜುನ್‌,.
ಧನಂಜ¿å	UNK	ಧನಂಜ¿å.
ಮುಂತಾದವರು	NN.unk....	ಮುಂತಾದವರು.
ಹಾಡುಗಳ	NN.n.n.pl..o	ಹಾಡು.ಅ
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಟ್ರೇಲರ್‌	UNK	ಟ್ರೇಲರ್‌.
ಬಿಡುಗಡೆಗೆ	NN.n.n.sg..o	ಬಿಡುಗಡೆ.ಇಗೆ
ಸಾಕ್ಷಿಯಾದರು..	UNK	ಸಾಕ್ಷಿಯಾದರು...
.	SYM.punc....	..


ಹಿಂದೊಮ್ಮೆ	UNK	ಹಿಂದೊಮ್ಮೆ.
ಹಲವು	JJ.n.n.sg..d	ಹಲವು.0
ಚಿತ್ರಗಳಿಗೆ	NN.n.n.pl..o	ಚಿತ್ರ.ಇಗೆ
ಹಾಡುಗಳನ್ನು	NN.n.n.pl..o	ಹಾಡು.ಅನ್ನು
ಹಾಡಿರುವ	VM.v.any.any.any.	ಹಾಡು.ಇರುವ
ಬಿ.ಆರ್‌.	UNK	ಬಿ.ಆರ್‌..
.	SYM.punc....	..


ಛಾಯಾ,	UNK	ಛಾಯಾ,.
ಬಹಳ	INTF.n.n.sg..d	ಬಹಳ.0
ದಿನಗಳ	NN.n.n.pl..o	ದಿನ.ಅ
ನಂತರ	RB.avy....	ನಂತರ.
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರಕ್ಕೆ	NN.n.n.sg..o	ಚಿತ್ರ.ಇಗೆ
ಹಾಡು	NN.n.n.sg..d	ಹಾಡು.0
ಹಾಡಿದ್ದಾರೆ.	UNK	ಹಾಡಿದ್ದಾರೆ..
.	SYM.punc....	..


ಬರೀ	JJ.avy....	ಬರೀ.
ಹಾಡಿದ್ದಷ್ಟೇ	JJ.unk....	ಹಾಡಿದ್ದಷ್ಟೇ.
ಅಲ್ಲ,	UNK	ಅಲ್ಲ,.
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಎರಡನೆಯ	QO.unk....	ಎರಡನೆಯ.
ನಾಯಕಿ	NN.n.f.sg.3.d	ನಾಯಕಿ.0
ತಾವೇ	NN.unk....	ತಾವೇ.
ಎನ್ನುತ್ತಾರೆ.	UNK	ಎನ್ನುತ್ತಾರೆ..
.	SYM.punc....	..


"ವಿಭಿನ್ನ	UNK	"ವಿಭಿನ್ನ.
ಕಾನ್ಸೆಪ್ಟ್ನ	UNK	ಕಾನ್ಸೆಪ್ಟ್ನ.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಇದು.	UNK	ಇದು..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
ನಾನು	PRP.pn..sg.1.o	ನಾನು.0
ಎರಡನೆಯ	QO.unk....	ಎರಡನೆಯ.
ನಾಯಕಿ	NN.n.f.sg.3.d	ನಾಯಕಿ.0
ಅನ್ನಬಹುದು.	UNK	ಅನ್ನಬಹುದು..
.	SYM.punc....	..


ಹೀರೋಯಿನ್‌	UNK	ಹೀರೋಯಿನ್‌.
ಬಂದಾಗಲೆಲ್ಲಾ	VM.unk....	ಬಂದಾಗಲೆಲ್ಲಾ.
ನನ್ನ	PRP.pn..sg.1.o	ನಾನು.ಅ
ಧ್ವನಿ	NN.n.n.sg..d	ಧ್ವನಿ.0
ಕೇಳಿಸುತ್ತದೆ'	UNK	ಕೇಳಿಸುತ್ತದೆ'.
ಎಂದು	PRP.avy....	ಎಂದು.
ಹೇಳುವುದರ	VM.n.n.sg..o	ಹೇಳುವುದು.ಅ
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
"ಹೂವಾ	UNK	"ಹೂವಾ.
ಸುರಿದೇನು	UNK	ಸುರಿದೇನು.
...'	UNK	...'.
ಹಾಡಿನ	NN.n.n.sg..o	ಹಾಡು.ಅ
ಎರಡು	QC.n.n.sg..d	ಎರಡು.0
ಸಾಲುಗಳನ್ನು	NN.n.n.pl..o	ಸಾಲು.ಅನ್ನು
ಹಾಡಿದರು.	UNK	ಹಾಡಿದರು..
.	SYM.punc....	..


ಮಿಕ್ಕವರೆಲ್ಲರೂ	VM.unk....	ಮಿಕ್ಕವರೆಲ್ಲರೂ.
ಚಿತ್ರತಂಡಕ್ಕೆ	NN.unk....	ಚಿತ್ರತಂಡಕ್ಕೆ.
ಶುಭ	JJ.unk....	ಶುಭ.
ಕೋರಿ,	UNK	ಕೋರಿ,.
ತಮ್ಮ	PRP.n.m.sg.3.d	ತಮ್ಮ.0
ಮಾತು	NN.n.n.sg..d	ಮಾತು.0
ಮುಗಿಸಿದರು.	UNK	ಮುಗಿಸಿದರು..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


.	SYM.punc....	..


